product_id,product_name,category,priority_score,load_factor
1001,Paracetamol 500mg Strip,Medicines,0.93,0.35
1002,Azithromycin 250mg Strip,Medicines,0.92,0.35
1003,Amoxicillin 500mg Capsules,Medicines,0.95,0.38
1004,Metformin 500mg Tablets,Medicines,0.91,0.4
1005,Amlodipine 5mg Tablets,Medicines,0.95,0.38
1006,Cetirizine 10mg Tablets,Medicines,0.89,0.32
1007,Insulin Glargine Injection,Medicines,0.91,0.45
1008,ORS Rehydration Sachets,Medicines,0.92,0.4
1009,Digene Antacid Tablets,Medicines,0.83,0.45
1010,Crocin Advance Tablets,Medicines,0.92,0.38
1011,Combiflam Tablets,Medicines,0.88,0.4
1012,Betadine Antiseptic Solution,Medicines,0.87,0.55
1013,First Aid Bandage Roll,Medicines,0.89,0.35
1014,Sterile Gauze Pads,Medicines,0.93,0.3
1015,Digital Thermometer,Medicines,0.85,0.5
1016,Dettol Antiseptic Liquid,Medicines,0.87,0.6
1017,Volini Pain Relief Spray,Medicines,0.88,0.45
1018,Vicks Vaporub,Medicines,0.9,0.4
1019,Glucometer Test Strips,Medicines,0.92,0.35
1020,Saline Nasal Drops,Medicines,0.87,0.35
1021,Vicks Cough Drops,Medicines,0.89,0.3
1022,Band-Aid Adhesive Bandages,Medicines,0.84,0.3
1023,Nestle Cerelac Baby Cereal,Baby Care,0.9,1.6
1024,Similac Infant Formula,Baby Care,0.9,1.7
1025,Lactogen Infant Formula,Baby Care,0.88,1.6
1026,Pampers Baby Dry Diapers,Baby Care,0.84,3.0
1027,Huggies Wonder Pants Diapers,Baby Care,0.86,3.2
1028,MamyPoko Pants Diapers,Baby Care,0.9,3.1
1029,Johnson's Baby Powder,Baby Care,0.57,0.7
1030,Johnson's Baby Shampoo,Baby Care,0.61,0.85
1031,Baby Wet Wipes Pack,Baby Care,0.86,1.0
1032,Himalaya Baby Lotion,Baby Care,0.57,0.8
1033,Baby Diaper Rash Cream,Baby Care,0.86,0.6
1034,Chicco Baby Feeding Bottle,Baby Care,0.51,0.55
1035,Baby Wheat Cereal Mix,Baby Care,0.81,1.5
1036,Chicco Baby Soap,Baby Care,0.53,0.45
1037,Baby Diaper Pants Large Pack,Baby Care,0.89,3.3
1038,Baby Talcum Powder,Baby Care,0.57,0.7
1039,Amul Toned Milk 1L,Dairy & Eggs,0.88,1.1
1040,Mother Dairy Full Cream Milk 1L,Dairy & Eggs,0.92,1.2
1041,Nandini Fresh Milk 500ml,Dairy & Eggs,0.9,0.7
1042,Amul Butter 500g,Dairy & Eggs,0.81,0.6
1043,Amul Cheese Slices,Dairy & Eggs,0.83,0.55
1044,Nestle Dahi Curd 400g,Dairy & Eggs,0.9,0.85
1045,Mother Dairy Paneer 200g,Dairy & Eggs,0.81,0.5
1046,Farm Fresh Brown Eggs 12pc,Dairy & Eggs,0.89,1.3
1047,Farm Fresh White Eggs 6pc,Dairy & Eggs,0.87,0.85
1048,Amul Fresh Cream 200ml,Dairy & Eggs,0.82,0.55
1049,Go Cheese Mozzarella Block,Dairy & Eggs,0.81,0.6
1050,Amul Lassi 200ml,Dairy & Eggs,0.73,0.5
1051,Britannia Cheese Spread,Dairy & Eggs,0.81,0.5
1052,Mother Dairy Toned Curd 1kg,Dairy & Eggs,0.83,1.1
1053,Britannia White Bread,Bakery,0.85,0.9
1054,Modern Whole Wheat Bread,Bakery,0.89,0.95
1055,Harvest Gold Brown Bread,Bakery,0.82,0.85
1056,Multigrain Bread Loaf,Bakery,0.85,0.9
1057,Britannia Bourbon Biscuits,Bakery,0.5,0.45
1058,Fresh Bakery Pav Pack of 6,Bakery,0.85,0.75
1059,Fresh Cream Bun Pack of 4,Bakery,0.83,0.65
1060,Chocolate Muffins Pack of 2,Bakery,0.73,0.55
1061,Garlic Bread Loaf,Bakery,0.82,0.9
1062,Fresh Croissants Pack of 2,Bakery,0.77,0.6
1063,Digestive Biscuits,Bakery,0.57,0.4
1064,Rusk Toast Pack,Bakery,0.69,0.5
1065,Fresh Bananas 1 Dozen,Fruits,0.85,1.2
1066,Fresh Apples Shimla 1kg,Fruits,0.83,1.1
1067,Fresh Alphonso Mangoes 1kg,Fruits,0.88,1.15
1068,Fresh Oranges 1kg,Fruits,0.86,1.1
1069,Fresh Papaya 1pc,Fruits,0.81,1.5
1070,Fresh Watermelon 1pc,Fruits,0.84,3.0
1071,Fresh Green Grapes 500g,Fruits,0.79,0.7
1072,Fresh Pomegranate 1kg,Fruits,0.86,1.1
1073,Fresh Pineapple 1pc,Fruits,0.81,1.6
1074,Fresh Kiwi 4pcs,Fruits,0.87,0.6
1075,Fresh Guava 500g,Fruits,0.83,0.65
1076,Fresh Sweet Lime Mosambi 1kg,Fruits,0.79,1.0
1077,Fresh Pears 500g,Fruits,0.81,0.65
1078,Fresh Strawberries 200g,Fruits,0.87,0.55
1079,Fresh Tomatoes 1kg,Vegetables,0.78,1.1
1080,Fresh Onions 1kg,Vegetables,0.82,1.1
1081,Fresh Potatoes 1kg,Vegetables,0.77,1.15
1082,Fresh Green Capsicum 500g,Vegetables,0.77,0.65
1083,Fresh Carrots 500g,Vegetables,0.78,0.65
1084,Fresh Cauliflower 1pc,Vegetables,0.83,1.2
1085,Fresh Cabbage 1pc,Vegetables,0.76,1.3
1086,Fresh Spinach Bunch,Vegetables,0.81,0.4
1087,Fresh Coriander Bunch,Vegetables,0.82,0.3
1088,Fresh Green Chillies 250g,Vegetables,0.85,0.4
1089,Fresh Ginger 250g,Vegetables,0.76,0.35
1090,Fresh Garlic 250g,Vegetables,0.79,0.35
1091,Fresh Cucumber 500g,Vegetables,0.81,0.7
1092,Fresh Brinjal 500g,Vegetables,0.84,0.65
1093,Fresh Beans 500g,Vegetables,0.84,0.65
1094,Fresh Bottle Gourd 1pc,Vegetables,0.84,1.1
1095,Tata Salt 1kg,Grocery Staples,0.63,1.0
1096,India Gate Basmati Rice 5kg,Grocery Staples,0.67,4.0
1097,Aashirvaad Atta 5kg,Grocery Staples,0.69,4.2
1098,Fortune Sugar 1kg,Grocery Staples,0.7,1.0
1099,Maida Refined Flour 1kg,Grocery Staples,0.68,0.9
1100,Sooji Semolina 500g,Grocery Staples,0.59,0.65
1101,Besan Gram Flour 1kg,Grocery Staples,0.61,0.9
1102,Poha Flattened Rice 500g,Grocery Staples,0.6,0.6
1103,MTR Rava Idli Mix,Grocery Staples,0.57,0.55
1104,Daawat Sella Basmati Rice 1kg,Grocery Staples,0.67,0.9
